# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000284425	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ABCB11	ENSG00000073734	ENST00000650372	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000265723	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB5	ENSG00000004846	ENST00000404938	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000399408	protein_coding	0	0	1	5	0	0	0	0	5	1	0	0	0	1	0	0	0	0
ABCC11	ENSG00000121270	ENST00000356608	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ABCC12	ENSG00000140798	ENST00000311303	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC13	ENSG00000243064	ENST00000463099	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC13	ENSG00000291052	ENST00000481582	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC2	ENSG00000023839	ENST00000647814	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000645237	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC6	ENSG00000091262	ENST00000205557	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000261200	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000287844	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCF2-H2BK1	ENSG00000285292	ENST00000222388	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398437	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG2	ENSG00000118777	ENST00000237612	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD1	ENSG00000143994	ENST00000316470	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000376542	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD13	ENSG00000139826	ENST00000375898	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	ENSG00000114779	ENST00000361143	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD15-AS1	ENSG00000264031	ENST00000581474		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD17A	ENSG00000129968	ENST00000250974	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD2	ENSG00000140526	ENST00000352732	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD4	ENSG00000100439	ENST00000428304	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD5	ENSG00000011198	ENST00000644371	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ABHD6	ENSG00000163686	ENST00000295962	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI1P1	ENSG00000271484	ENST00000603375	unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABI2	ENSG00000138443	ENST00000261018	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000710654	protein_coding	0	0	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000649363	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000710854	protein_coding	0	0	0	7	0	0	0	1	6	0	0	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000309868	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABO	ENSG00000175164	ENST00000538324	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574139	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABRACL	ENSG00000146386	ENST00000367660	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABRAXAS1	ENSG00000163322	ENST00000321945	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABRAXAS1P2	ENSG00000253384	ENST00000517431	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABTB2	ENSG00000166016	ENST00000435224	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABTB3	ENSG00000151136	ENST00000280758	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
ACACA	ENSG00000278540	ENST00000616317	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACACB	ENSG00000076555	ENST00000338432	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACAD10	ENSG00000111271	ENST00000455480	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000264990	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
ACADSB	ENSG00000196177	ENST00000358776	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP1	ENSG00000072818	ENST00000158762	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACAP2	ENSG00000114331	ENST00000450200	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP3	ENSG00000131584	ENST00000354700	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACAT1	ENSG00000075239	ENST00000672354	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACBD6	ENSG00000230124	ENST00000367595	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACBD7	ENSG00000176244	ENST00000356189	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACCS	ENSG00000110455	ENST00000263776	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACE3P	ENSG00000224353	ENST00000423435	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACER3	ENSG00000078124	ENST00000679754	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACER3-AS1	ENSG00000254988	ENST00000804914		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACHE	ENSG00000087085	ENST00000302913	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACO1	ENSG00000122729	ENST00000309951	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000396512	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACO2P2	ENSG00000235371	ENST00000446607	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSG00000162390	ENST00000371316	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACOT12	ENSG00000172497	ENST00000307624	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT13	ENSG00000112304	ENST00000230048	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOT8	ENSG00000101473	ENST00000217455	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOX1	ENSG00000161533	ENST00000293217	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOX3	ENSG00000087008	ENST00000356406	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOXL	ENSG00000153093	ENST00000676595	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACP3	ENSG00000014257	ENST00000351273	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP4	ENSG00000142513	ENST00000270593	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP6	ENSG00000162836	ENST00000583509	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSBG1	ENSG00000103740	ENST00000258873	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSF3	ENSG00000176715	ENST00000317447	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ACSL1	ENSG00000151726	ENST00000281455	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL5	ENSG00000197142	ENST00000356116	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL6	ENSG00000164398	ENST00000651356	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACSM1	ENSG00000166743	ENST00000307493	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM6	ENSG00000173124	ENST00000394005	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSS1	ENSG00000154930	ENST00000323482	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSS3	ENSG00000111058	ENST00000548058	protein_coding	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTA2	ENSG00000107796	ENST00000713598	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	ENSG00000075624	ENST00000493945	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTBP6	ENSG00000203413	ENST00000520036	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTBP9	ENSG00000266920	ENST00000587663	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTG1P25	ENSG00000293264	ENST00000456105		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTG1P4	ENSG00000236085	ENST00000425123	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTG2	ENSG00000163017	ENST00000345517	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTMAP	ENSG00000188493	ENST00000378313	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTN2	ENSG00000077522	ENST00000366578	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACTN4	ENSG00000130402	ENST00000252699	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTR1AP1	ENSG00000233370	ENST00000418944	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTR2	ENSG00000138071	ENST00000377982	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTR3	ENSG00000115091	ENST00000263238	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTR3B	ENSG00000133627	ENST00000256001	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACTR3P3	ENSG00000242573	ENST00000480448	processed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACTR5	ENSG00000101442	ENST00000243903	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ACTR8	ENSG00000113812	ENST00000335754	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACVR1	ENSG00000115170	ENST00000263640	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACVR1C	ENSG00000123612	ENST00000243349	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACVRL1	ENSG00000139567	ENST00000550683	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACYP2	ENSG00000170634	ENST00000607452	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ADA	ENSG00000196839	ENST00000696076	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000262607	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ADAD1	ENSG00000164113	ENST00000296513	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADAD1P2	ENSG00000267511	ENST00000588476	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAD2	ENSG00000140955	ENST00000268624	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAM10	ENSG00000137845	ENST00000260408	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM11	ENSG00000073670	ENST00000200557	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM12	ENSG00000148848	ENST00000368679	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ADAM19	ENSG00000135074	ENST00000517905	protein_coding	0	0	1	3	0	0	0	1	2	1	0	0	0	0	0	0	0	0
ADAM2	ENSG00000104755	ENST00000265708	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM20P3	ENSG00000249162	ENST00000508710	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAM21	ENSG00000139985	ENST00000603540	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM22	ENSG00000008277	ENST00000413139	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAM23	ENSG00000114948	ENST00000264377	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM29	ENSG00000168594	ENST00000359240	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAM32	ENSG00000197140	ENST00000379907	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM7-AS1	ENSG00000253535	ENST00000521681		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM8	ENSG00000151651	ENST00000445355	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSG00000168615	ENST00000677004	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000284984	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSG00000151388	ENST00000504830	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSG00000138316	ENST00000373208	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS16	ENSG00000145536	ENST00000274181	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSG00000140470	ENST00000568565	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ADAMTS18	ENSG00000140873	ENST00000282849	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS19	ENSG00000145808	ENST00000274487	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	ENSG00000249421	ENST00000661962		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS2	ENSG00000087116	ENST00000251582	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS3	ENSG00000156140	ENST00000286657	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS6	ENSG00000049192	ENST00000381055	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS7P3	ENSG00000261143	ENST00000566116	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADAMTS8	ENSG00000134917	ENST00000257359	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS9	ENSG00000163638	ENST00000498707	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS9-AS1	ENSG00000241158	ENST00000594810		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS9-AS2	ENSG00000241684	ENST00000460833		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTSL1	ENSG00000178031	ENST00000680146	protein_coding	0	0	0	19	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ADAMTSL3	ENSG00000156218	ENST00000286744	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAMTSL4	ENSG00000143382	ENST00000369039	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTSL4-AS1	ENSG00000203804	ENST00000615012		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTSL5	ENSG00000185761	ENST00000330475	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAP1	ENSG00000105963	ENST00000539900	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ADAP2	ENSG00000184060	ENST00000580525	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAR	ENSG00000160710	ENST00000649724	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000705392	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB2	ENSG00000185736	ENST00000381312	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ADARB2-AS1	ENSG00000205696	ENST00000754241		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAT2	ENSG00000189007	ENST00000237283	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAT3	ENSG00000213638	ENST00000329478	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADCK1	ENSG00000063761	ENST00000238561	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADCK2	ENSG00000133597	ENST00000072869	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY1	ENSG00000164742	ENST00000297323	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADCY10	ENSG00000143199	ENST00000367851	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY10P1	ENSG00000161912	ENST00000457653	transcribed_unprocessed_pseudogene	0	1	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0
ADCY10P1	ENSG00000290554	ENST00000567255		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ADCY2	ENSG00000078295	ENST00000338316	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ADCY3	ENSG00000138031	ENST00000405392	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADCY5	ENSG00000173175	ENST00000850916	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0
ADCY6-DT	ENSG00000257660	ENST00000803326		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY7	ENSG00000121281	ENST00000254235	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY8	ENSG00000155897	ENST00000286355	protein_coding	0	0	1	6	0	0	0	0	6	1	0	0	0	0	0	0	0	0
ADCY9	ENSG00000162104	ENST00000294016	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCYAP1	ENSG00000141433	ENST00000450565	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADD1	ENSG00000087274	ENST00000683351	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADD2	ENSG00000075340	ENST00000264436	protein_coding	0	0	0	7	1	0	0	0	6	0	0	0	0	0	0	0	0	0
ADD3	ENSG00000148700	ENST00000356080	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGB	ENSG00000118492	ENST00000397944	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ADGB-DT	ENSG00000237468	ENST00000419168		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
